Nombre de points: ;246
Temps(s);x(pixels);y(pixels)
0.012637795485687775;380;326
0.0467157126160771;378;323
0.08890956987158916;376;320
0.12098210675353016;359;325
0.18194936096719516;336;358
0.20264192940157955;347;377
0.2489844811894386;256;192
0.2850447895623347;256;192
0.32892792823489003;256;192
0.3610521903801498;256;192
0.42270254648397554;362;374
0.45694220769169647;363;351
0.4889043152416548;361;321
0.5370071680541457;371;311
0.5690090958464964;380;306
0.6302460603617419;382;303
0.6528820208321235;393;306
0.6969071987198276;399;300
0.7348957099641211;411;295
0.7769187917471072;422;290
0.8090290962816482;431;288
0.8701942201533939;442;284
0.890768148896484;453;282
0.9368758844096305;256;192
0.9735478645471289;477;274
1.0168825512213289;483;279
1.0489522144775663;478;279
1.1103870486508924;474;279
1.130754076340736;466;279
1.1769669044523425;454;282
1.2149123113105418;444;285
1.2568639629679978;438;285
1.3183119337161315;428;273
1.3403432012272845;256;192
1.3848552534188912;256;192
1.4227862921483734;426;327
1.4688915645537293;424;326
1.50102116343254;422;328
1.5586808744196787;421;328
1.5811928584653003;410;316
1.6248091604620072;395;301
1.6628629440623968;392;305
1.7048893099890847;390;306
1.7370336875145256;393;309
1.7984947948374668;393;305
1.8202210475022582;404;314
1.8651432071387433;408;316
1.8968450463002569;405;314
1.9583135429465415;404;314
1.9928857237041484;402;315
2.024715233952122;394;308
2.056847706456665;385;307
2.1049866848498766;357;314
2.16630739502952;327;331
2.192050976478555;300;367
2.240602525424407;256;192
2.2683654447325807;256;192
2.315648493173285;256;192
2.3468683842464486;256;192
2.4098007879481713;256;192
2.4404915213672496;256;192
2.4737475815360312;256;192
2.5057425305230367;256;192
2.554741133530399;256;192
2.5851999243004684;256;192
2.6476220541744055;256;192
2.6653182519980874;256;192
2.721111337808253;256;192
2.7491497146694712;256;192
2.7928928667166986;256;192
2.824898489170721;256;192
2.8739344493127135;256;192
2.9068210433149773;256;192
2.9619958890731084;256;192
3.0026880716205824;256;192
3.033426835641336;256;192
3.095183515897503;256;192
3.1127980206465793;256;192
3.1651049879164077;256;192
3.1978142381587134;256;192
3.2413566469220996;256;192
3.2730211289490114;256;192
3.336477764089267;256;192
3.352769579962114;256;192
3.4055880526136093;256;192
3.4369368463271144;256;192
3.4808290163948357;256;192
3.6526459730035015;256;192
3.685221804907883;256;192
3.7182159546163973;256;192
3.749985118723828;256;192
3.805405454223745;256;192
3.845641140796573;256;192
3.877918115624027;256;192
3.925940917433735;256;192
3.957882909603512;256;192
4.0128032342247195;256;192
4.037799262463409;256;192
4.08581180132407;256;192
4.1178777699186355;256;192
4.173085457113785;256;192
4.212972203418218;256;192
4.245906417504159;256;192
4.277851283299668;256;192
4.32583098072331;256;192
4.3608210687670805;256;192
4.405789616933362;256;192
4.437826028234582;256;192
4.4927521001072535;256;192
4.517985818246444;256;192
4.566098112972071;256;192
4.6021325587132935;256;192
4.645759123659076;256;192
4.700735278723215;256;192
4.726055616152564;256;192
4.77377052949015;256;192
4.810339469618981;256;192
4.860721518161085;256;192
4.900263429376736;256;192
4.940676049191524;256;192
4.965940145659971;256;192
5.013744551913476;256;192
5.0501952628690105;256;192
5.101307622866983;256;192
5.126942417055858;256;192
5.180930865901416;256;192
5.206273781818737;256;192
5.253796162231765;256;192
5.285795626916325;256;192
5.333781892627371;256;192
5.367535500567129;256;192
5.421039538216547;256;192
5.445902558635311;256;192
5.4938017945382;256;192
5.54186852176997;256;192
5.573744831065682;256;192
5.62859495711524;256;192
5.657897729301993;256;192
5.701729963747141;256;192
5.734115315316785;256;192
5.790946601054941;256;192
5.813806704333047;256;192
5.868958561085265;256;192
5.8949866314825385;256;192
5.94176351127507;256;192
5.9803940726132225;256;192
6.021930690610247;256;192
6.053731054082846;256;192
6.109696146919447;256;192
6.136247627719314;256;192
6.181873825662052;256;192
6.213773534481646;256;192
6.261640339465515;256;192
6.293713286865426;256;192
6.348980909683178;256;192
6.389663650317516;256;192
6.421794070232238;256;192
6.476819487451905;256;192
6.50177035871468;256;192
6.550347359774236;256;192
6.582268005009951;256;192
6.629700892507088;256;192
6.661785744927926;256;192
6.7096525499117945;256;192
6.741674182566356;256;192
6.7897023211096155;256;192
6.822298268394178;256;192
6.869669578196891;256;192
6.901813545204391;256;192
6.9499270714838985;256;192
6.9816596994926385;256;192
7.030661997161673;256;192
7.064721030465762;256;192
7.109676442057236;256;192
7.141686169690871;256;192
7.196631946425754;256;192
7.237493672891901;256;192
7.269664734084927;256;192
7.317687535894663;256;192
7.349979699886717;256;192
7.397745106933769;256;192
7.429727329863908;256;192
7.478591693497435;256;192
7.510232365482494;256;192
7.557568370740398;256;192
7.5905440471405825;256;192
7.638670299476956;256;192
7.669551513230772;256;192
7.7178785088509585;256;192
7.750670683721751;256;192
7.798798578129976;256;192
7.830587447099617;256;192
7.877794549717208;256;192
7.9097180685786554;256;192
7.957627567430649;256;192
7.989819154521825;256;192
8.03778366278084;256;192
8.093272144262556;256;192
8.119902855029267;256;192
8.165682586690082;256;192
8.201955132849747;256;192
8.245789830402714;256;192
8.27779914751838;256;192
8.333359059125655;256;192
8.357763120461982;256;192
8.405694376765979;256;192
8.4409923532819;256;192
8.48561729791328;256;192
8.517748949381883;256;192
8.574219389830716;256;192
8.597504789718329;256;192
8.645608053048761;256;192
8.680843630834318;256;192
8.732774974168137;256;192
8.7600908394148;256;192
8.812592392199008;256;192
8.837794089937091;256;192
8.885772555806824;256;192
8.933845440808028;256;192
8.96647587160146;256;192
9.021173695486794;256;192
9.047735849753707;256;192
9.093693746210391;256;192
9.130556617200597;256;192
9.180937023670879;256;192
9.205711372209635;256;192
9.26132547218802;256;192
9.287125705115898;256;192
9.333769987606445;256;192
9.370612743216498;256;192
9.420640925274625;256;192
9.455667138899145;256;192
9.500703833047254;256;192
9.525706840091345;256;192
9.573624959820535;256;192
9.60563509797214;256;192
9.65355691236303;256;192
9.707947668812153;256;192
9.735488497902452;256;192
9.781606496364645;256;192
9.82038443365147;256;192
9.861616036802104;256;192
9.893615912004634;256;192
9.947864218720667;256;192
9.974811028318754;256;192
10.021640043892575;256;192
